disease,text,risk_level
gestational diabetes,"I’m just trying to get through this pregnancy, but the symptoms are relentless.",Low
pneumoconiosis,It feels hopeless when my fevers come back every few days.,High
benign paroxysmal positional vertical (bppv),Moving my head causes unbearable dizziness and this awful headache.,Emergency
bursitis,Elbow pain has really made it tough to enjoy my hobbies lately.,Medium
angina,Shooting pain radiated down my arm; I was terrified.,Emergency
drug reaction,"The medication made my skin look abnormal, and now I’m really worried.",Emergency
pulmonary fibrosis,I woke up with a fever and I'm struggling to catch my breath.,Emergency
lymphogranuloma venereum,I'm worried about my sore throat; it's not going away like I hoped it would.,Low
granuloma inguinale,The lesions have become quite extensive and are affecting my daily comfort; it's really concerning.,High
hepatic encephalopathy,I’m scared I’m going to faint while driving; it's making me anxious.,Emergency
premature rupture of amniotic membrane,I didn't expect elbow weakness to be part of my experience with membrane rupture.,Low
polycythemia vera,"Lately, I've noticed my fatigue is making everyday tasks feel impossible.",Low
pneumoconiosis,"I feel dizzy and lightheaded, and I just don’t know why.",High
urethral stricture,I can’t seem to shake this constant suprapubic pain; I feel like I’m always on edge.,Medium
female infertility of unknown cause,"I've been experiencing unpredictable menstruation, but my infertility remains unexplained.",Low
empyema,Shortness of breath and chest pain are making me feel panic; I need emergency care!,Emergency
ear drum damage,I’m getting a lot of ear pain; it makes me dread moving my head.,Medium
chronic inflammatory demyelinating polyneuropathy (cidp),I miss the days when I could move freely without fear of falling.,Low
mumps,I’m tired of feeling this sore; when will it end?,Low
malaria,"Please help, this fever is unbearable; I just want my life back from malaria.",High
astigmatism,I should have known something was wrong when I started seeing spots everywhere.,Medium
granuloma inguinale,The lump in my knee is so tender; I can hardly touch it Is this serious?,High
coagulation (bleeding) disorder,The redness in my eyes has persisted for weeks; I need answers.,Low
crohn disease,Nothing prepares you for the overwhelming fatigue that comes with these symptoms.,Medium
fibrocystic breast disease,It's frustrating to have ongoing breast pain that doesn't seem to have a cause.,Low
syphilis,The skin rash I found is concerning; could it be connected to syphilis?,Low
placental abruption,It’s hard to stay positive when I’m dealing with so much spotting and anxiety.,Low
lactose intolerance,"Every time I have dairy, I end up with severe flatulence that’s embarrassing and painful.",Emergency
uveitis,My vision has been so blurry; it’s hard to focus on anything.,Low
anal fissure,I never expected anal fissures to lead to such persistent vaginal dryness as well.,Medium
labyrinthitis,"My hearing seems diminished, and it's frustrating not to catch conversations.",Medium
ectopic pregnancy,"I experienced lower abdominal pain, but no one seemed to take it seriously.",Medium
intracranial abscess,"I need help, the pain in my head has become a daily struggle; I need relief.",High
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I've lost weight rapidly.",High
soft tissue sarcoma,"My groin mass has become sore, and I don’t know why.",Low
corneal abrasion,"I keep feeling like there’s a foreign body in my eye, but there’s nothing there.",Medium
alcoholic liver disease,I've been feeling sharp abdominal pain lately after drinking.,Low
kidney cancer,I feel like my concerns about kidney cancer are being dismissed.,Low
fracture of the ankle,"My toes are always tingling, and it worries me after my fall.",Low
fracture of the pelvis,I thought my knee pain would be temporary after the fracture.,Low
osteoarthritis,"Between the back pain and joint pain, I dread getting out of bed every morning.",Medium
aortic valve disease,Every small exertion leaves me breathless; it's become a daily battle.,Emergency
dementia,I can't trust my own thoughts anymore; am I really seeing shadows?,Medium
hypoglycemia,The nausea from my hypoglycemia is making it impossible to eat.,Emergency
urinary tract obstruction,The sharp abdominal pain is getting worse every time I try to urinate.,Medium
brachial neuritis,The loss of sensation in my fingers makes it almost impossible to type.,Medium
blepharitis,"I’ve tried everything, but the burning sensation in my eyes just won’t go away.",Medium
laryngitis,"My voice goes in and out, making even simple conversations awkward.",Medium
pinworm infection,I can’t sit still because of this awful itching; it’s so distracting.,Low
anal fistula,"I found a mass in my scrotum, and it’s causing me a lot of concern.",Low
bone cancer,"Sometimes, my legs swell up, and I just don’t understand why.",Low
pulmonic valve disease,Walking to the mailbox leaves me gasping for air; it’s terrifying What should I do?,High
complex regional pain syndrome,Back pain has taken over my life; is this what I have to live with?,Medium
injury of the ankle,I can barely walk because of the constant ankle pain I'm experiencing.,Medium
narcolepsy,My social life is suffering; friends don’t understand how tired I always am.,Emergency
acne,"My skin feels so rough, and the pimples just keep multiplying.",Medium
kidney disease due to longstanding hypertension,I cannot believe how dizzy I feel; is this really from my kidneys?,High
aspergillosis,"The coughing fits are severe, and I'm bringing up thick brown mucus. I really need help.",High
hashimoto thyroiditis,Why are my hands shaking when I’m just sitting still? It’s very unsettling.,Low
heart block,I can’t ignore the shortness of breath; it's getting worse by the day.,Emergency
tuberculosis,"I can barely catch my breath, and it scares me to death What should I do?",High
pulmonary hypertension,This apnea during sleep leaves me gasping when I wake up.,Emergency
anemia due to malignancy,"Lately, i'm constantly out of breath, and my heart pounds even when I'm sitting still.",High
pulmonary fibrosis,Each breath comes with a heavy weight of anxiety and pain.,Emergency
atrial flutter,I didn’t expect chest pain that sharp; I thought it was just anxiety.,Emergency
acute kidney injury,Suddenly feeling sharp chest pain makes me worry that I have acute kidney injury.,Emergency
injury to the leg,The pain in my ankle makes it impossible to keep up with my kids.,Medium
aphakia,The occasional spots in my sight are becoming more frequent.,Low
chronic pancreatitis,Why do I have to endure this vomiting after each meal?,Medium
stye,My eyelid is so swollen that it's hard to see properly.,Medium
tuberous sclerosis,My child is having developmental issues and frequent seizure episodes; it's really concerning.,High
congenital malformation syndrome,"I just want my child to hear and engage like other kids, but it’s a struggle Is this serious?",High
hyperlipidemia,"Lately, the pain in my legs when walking has gotten worse; circulation seems very poor.",High
granuloma inguinale,"Lately, the painless ulcers have grown larger, and the tissue looks raw and red.",High
infectious gastroenteritis,The abdominal pain is sharp and makes it hard to concentrate.,Medium
gonorrhea,This vaginal discharge is so heavy and I don’t know what to do.,Low
vitreous hemorrhage,It's frustrating to deal with blurred vision when I’m trying to read.,Low
sickle cell anemia,Why do I always have dry lips? It’s so uncomfortable.,Medium
frostbite,Every step I take sends a jolt of pain through my toes.,High
fracture of the ankle,The constant pain in my ankle makes it hard to sleep at night.,Low
overflow incontinence,I often have to plan my day around bathroom access due to retention.,Low
amblyopia,"I keep noticing my eye seems to wander, and it’s so distracting.",Low
congenital malformation syndrome,"Please help, i constantly stress about my child's lack of growth; it’s so concerning.",High
malaria,"I can barely keep water down, and the fever and chills are relentless.",High
head injury,I'm having facial pain that won't go away after the accident.,Emergency
moyamoya disease,I wish I could feel like my old self instead of battling these symptoms.,Low
endocarditis,The sharp chest pain came out of nowhere and won’t go away!,Emergency
rectal disorder,The combination of sharp abdominal pain and itching of the anus is exhausting me.,Medium
bone cancer,"I keep telling my doctor about the swelling, but nothing changes.",Low
trigeminal neuralgia,These abnormal movements are embarrassing and make me feel helpless.,Low
torticollis,The stiffness in my neck makes it hard to turn my head.,Medium
toxoplasmosis,This constant fatigue and diminished vision are making daily life so challenging for me.,Low
granuloma inguinale,"The painless ulcers have grown larger, and the tissue looks raw and red.",High
adrenal adenoma,"Lately, the muscle weakness is getting worse, and I feel exhausted despite sleeping enough.",High
primary insomnia,I dread bedtime because it just leads to more sleepless nights.,Low
idiopathic irregular menstrual cycle,"The intermenstrual bleeding is alarming, and I'm worried that it's a sign of something more serious.",Medium
female genitalia infection,I keep getting these skin lesions that itch like crazy; it's so embarrassing.,Low
pneumoconiosis,"I need help, it feels hopeless when my fevers come back every few days.",High
bone disorder,I’ve been feeling a constant ache in my bones that won’t go away.,Low
trigger finger (finger disorder),The pain in my fingers prevents me from writing comfortably.,Low
osteoarthritis,"I want to stay active, but my hip pain is really holding me back.",Medium
cryptorchidism,I’ve noticed my son is not growing well; it makes me feel helpless.,Low
hypothermia,"My body temperature is dangerously low, and I can't stop shivering violently.",High
septic arthritis,This hip pain and fever has kept me from my normal routine.,Low
acute glaucoma,"I'm struggling with blurred vision, and it’s making everyday tasks really difficult.",Medium
trichiasis,I wish this eyelid rash would clear up so I could feel normal again.,Low
anemia due to malignancy,Being fatigued all the time is so overwhelming and isolating What should I do?,High
wernicke korsakoff syndrome,"I often forget what I was just talking about, and it’s embarrassing.",Low
neurosis,"Every night, I lay awake feeling paranoid, as if someone is watching me from the shadows.",Medium
trichomonas infection,I can't believe I'm dealing with this sharp abdominal pain from a trichomonas infection.,Medium
nerve impingement near the shoulder,My arm pain is so constant; it feels like I can't relax at all.,Medium
rosacea,I’m tired of feeling like a walking target with these visible skin moles.,Medium
sjogren syndrome,I never realized how much eye pain could impact my mood.,Low
problem during pregnancy,"Vomiting has become a daily routine, and I'm feeling so drained.",Medium
onychomycosis,"I've been experiencing pain in my toes, which is making it hard to walk.",Medium
adrenal cancer,"Dizziness is unpredictable for me, and I wish it would stop.",Low
zenker diverticulum,I've lost weight because swallowing is so painful and food gets trapped.,High
human immunodeficiency virus infection (hiv),Finding it hard to cope with life when HIV worries flood my mind and dreams.,Low
malaria,"The knee lump has been so painful, and malaria just won’t let up.",High
toxoplasmosis,Is it normal to feel so overwhelmed by anxiety while dealing with toxoplasmosis symptoms?,Low
drug abuse (methamphetamine),The palpitations are so bad; it feels like my heart is about to explode.,Emergency
myocarditis,The dizziness I experience makes it hard to even get up in the morning What should I do?,High
cholesteatoma,My family keeps telling me I need to see someone about my hearing.,Low
yeast infection,It feels like I can never escape the constant pelvic pain and discomfort.,Medium
pulmonary congestion,I’m struggling with shortness of breath and my exhaustion is overwhelming me.,Emergency
frostbite,"I need help, i never expected my toes to hurt so badly from just a little cold.",High
granuloma inguinale,"The beefy red appearance of the ulcers is alarming, and they keep growing; it's really concerning.",High
nerve impingement near the shoulder,The stiffness in my shoulder is really affecting my daily activities.,Medium
trigeminal neuralgia,I never expected such severe facial pain from trigeminal neuralgia.,Low
dumping syndrome,I just want to enjoy a meal without worrying about what happens afterward.,Low
high blood pressure,"I need help, every time my blood pressure spikes, I feel a sharp pain in my chest.",High
injury to the shoulder,I feel a tightness in my shoulder that makes exercising impossible.,Medium
placenta previa,Why does it seem like the cramps get worse every week?,Low
acariasis,"The rash on my skin won’t go away, and it’s so annoying.",Low
hypokalemia,I’m panicking; the combination of symptoms is overwhelming me.,Emergency
lactose intolerance,Eating yogurt leaves me in agony with constant diarrhea; I’m terrified of my next meal.,Emergency
abdominal hernia,I keep experiencing lower abdominal pain that disrupts my daily activities.,Medium
hyperlipidemia,"Please help, it feels overwhelming to manage my hyperlipidemia while also battling weight gain.",High
extrapyramidal effect of drugs,My arms feel so stiff; it’s like they don’t belong to me anymore.,Emergency
malaria,I never expected malaria to come with this much pain and a huge knee lump What should I do?,High
fracture of the arm,"My arm feels tight, and I can't lift it without pain.",Medium
valley fever,"Just when I think I’m improving, the fever spikes again and I feel hopeless Is this serious?",High
cornea infection,"It feels like there's something stuck in my eye, but I can't see anything.",Medium
open wound of the finger,I’m concerned that the swelling might indicate something more serious with my finger.,Low
brachial neuritis,I can’t believe how much my shoulder pain has disrupted my daily life.,Medium
vacterl syndrome,Suprapubic pain makes even simple tasks feel impossible some days.,Low
adrenal adenoma,I feel jittery and my heart pounds even when I'm resting; something feels very wrong. I really need help.,High
amyloidosis,"Every day, my wrist weakness makes me question my ability to work What should I do?",High
urinary tract infection,The suprapubic pain has kept me up all night – it's so frustrating!,Medium
hypothermia,"Please help, after getting cold, I fainted unexpectedly, which really scared me and my family.",High
peripheral arterial disease,"Every time I stand for too long, my legs start spasming uncontrollably.",Medium
lymphedema,The swelling in my feet is so uncomfortable; I can barely wear my shoes.,Medium
pain after an operation,"The nausea is constant, and I feel like I'm going to be sick again.",Emergency
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I have lost weight rapidly.",High
chronic rheumatic fever,Dizziness hits me at the worst times; I feel helpless.,Emergency
ependymoma,I never imagined I'd face this much emotional distress from a diagnosis.,Low
congenital heart defect,"Every time I see my fingers stiffening, I can't help but worry about the future of my heart What should I do?",High
sjogren syndrome,"Every time I have to swallow, it reminds me of my struggle with Sjögren's.",Low
valley fever,"Please help, this valley fever experience is overwhelming; I just want some relief from the pain.",High
stye,"Every time I blink, I feel a painful sensation on my eyelid that lingers.",Medium
neurosis,"I find myself lashing out at friends over minor issues, but I can’t seem to rein in my hostility.",Medium
lymphoma,"I feel so fatigued lately, and it's hard to ignore lymphoma thoughts.",Low
rotator cuff injury,It’s tough to get my arm to move without feeling a sharp pain.,Low
fibromyalgia,I'm experiencing sharp chest pain that feels unbearable and I’m really scared.,Emergency
breast infection (mastitis),I’m terrified that this lump might not go away; I just want to feel normal again.,Medium
meningitis,"I couldn't shake the nausea, and my headache made it impossible to focus.",Medium
gestational diabetes,The vaginal redness has me worried; I didn’t expect that with gestational diabetes.,Low
fracture of the finger,My finger throbs constantly; I didn’t expect this level of discomfort.,Low
narcolepsy,I'm constantly battling fatigue and just can't keep my eyes open at work.,Emergency
toxic multinodular goiter,"I notice my heartbeat is irregular sometimes, and it’s honestly quite unsettling.",Low
spontaneous abortion,I felt burning abdominal pain and couldn't shake the anxiety that something was wrong.,Medium
thrombophlebitis,It scares me that my skin is so red and swollen; I didn’t expect this.,Medium
fungal infection of the hair,My skin lesions are so bothersome; they just won't heal properly.,Medium
balanitis,"Every time I urinate, I feel a sharp pain that just won’t go away.",Medium
hyperemesis gravidarum,I feel so weak from the diarrhea that I'm worried about dehydration.,Emergency
benign vaginal discharge (leukorrhea),"The vaginal itching has become unbearable, and I'm worried about the discharge too.",Medium
shingles (herpes zoster),"I thought it was just a headache, but now I have a painful rash all over.",Emergency
torticollis,My neck tightness has made it hard to sleep comfortably.,Medium
anemia due to malignancy,"My energy is completely gone, and I have noticed I am bruising much more easily than before.",High
granuloma inguinale,Why is this granuloma inguinale causing such relentless discomfort? What should I do?,High
syringomyelia,The back pain I feel daily is exhausting and unbearable What should I do?,High
skin cancer,"The roughness on my skin feels different, and I can't ignore it.",Medium
tuberculosis,"Please help, i just want my life back, but this cough won’t let me.",High
social phobia,My excessive appetite only seems to grow when I'm anxious about gatherings.,Medium
poisoning due to antidepressants,These pills have left me feeling so emotionally unstable and confused.,Low
sporotrichosis,Wrist pain that won't go away has me worried; I've read about sporotrichosis online.,Low
lymphangitis,This neck swelling is making it difficult to wear my favorite shirt.,Low
fracture of the finger,I didn’t think a little bump could cause this much finger pain.,Low
myasthenia gravis,"Every time I breathe deeply, a sharp pain makes it feel impossible.",Emergency
zenker diverticulum,I worry that my elbow weakness will lead to more serious issues What should I do?,High
foreign body in the nose,"I'm starting to feel nauseous, and I can’t breathe well; could it be from my nose?",Low
parkinson disease,My tremors are embarrassing and make it hard to hold a cup without spilling.,Medium
complex regional pain syndrome,My hands hurt so much; simple tasks feel like a nightmare.,Medium
zenker diverticulum,"Food gets stuck in my throat, and I keep regurgitating undigested food.",High
infection of open wound,"The redness around my wound is getting worse, and it’s alarming.",Low
subacute thyroiditis,I feel like my pregnancy symptoms are worsening due to this thyroid issue.,Low
laryngitis,This laryngitis is ruining my plans; I can't even go out.,Medium
floaters,Why are there so many floaters in my eye lately?,Low
parathyroid adenoma,I can’t remember the last time I felt calm; it’s exhausting.,Low
diabetic ketoacidosis,I didn't realize sharp chest pain could be so serious.,Emergency
glucocorticoid deficiency,"I can't catch my breath even with the slightest exertion, and it's terrifying What should I do?",High
cervical disorder,The vaginal itching is so distracting; it’s affecting my sleep.,Low
pemphigus,I feel frustrated as my skin continues to peel and change unexpectedly.,Low
obsessive compulsive disorder (ocd),The fear of germs has spiraled into a daily struggle that I can hardly bear.,Medium
diabetic retinopathy,"I woke up with pain in my eye, and I’m worried it might be serious.",Medium
osteochondrosis,I didn't expect to deal with this level of elbow pain at my age.,Low
open wound of the hand,"There’s swelling near my open hand wound, and it’s bothering me more than I expected.",Low
vocal cord polyp,"My throat swells up, making it hard to speak clearly.",Low
sick sinus syndrome,The irregular heartbeat is terrifying; I feel like my heart is going to stop.,Emergency
croup,My heart sinks every time I hear that strange cough; I need immediate help.,Emergency
chondromalacia of the patella,My knee pain seems to flare up after playing basketball.,Low
soft tissue sarcoma,There's a small lesion on my back that looks really peculiar.,Low
birth trauma,My arm feels so tight and stiff; I can't even lift my baby properly.,Low
amyloidosis,My legs are swollen and I'm struggling to breathe when I lie down at night. I really need help.,High
insect bite,I can’t believe how much fluid retention I have after that insect bite on my ankle.,Medium
uterine fibroids,The heavy menstrual flow makes it impossible to leave the house at times.,Medium
pleural effusion,"I have this awful cough, and I feel so weak all the time.",Emergency
aphakia,I feel like I’m missing out on life because of my vision issues.,Low
male genitalia infection,I can't help but feel anxious about the irregularity in my genital area.,Low
blepharospasm,I can't focus on anything because my eyelids keep twitching constantly.,Low
anemia due to malignancy,"My energy is completely gone, and I've noticed I'm bruising much more easily than before; it's really concerning.",High
friedrich ataxia,This persistent cough is making me anxious in public places.,Low
central atherosclerosis,"I’m terrified by how my heartbeat feels irregular and quick, like it's racing Is this serious?",High
injury to the finger,"I bumped my finger, and now it's swollen and painful.",Low
scar,I'm worried about a skin lesion forming where my scar is; can it happen?,Low
irritable bowel syndrome,"Flatulence is so uncomfortable, yet I feel like I can’t talk about it.",Medium
poisoning due to ethylene glycol,This fainting spell has me terrified; I hope it's not from that damn ethylene glycol What should I do?,High
pterygium,I get these strange spots in my field of vision occasionally.,Low
protein deficiency,"Nausea hits me out of nowhere, and I think my protein might be too low.",Low
idiopathic nonmenstrual bleeding,"I've had sharp abdominal pain, and my doctor seems unsure of what it is.",Low
myocarditis,"I'm struggling to breathe lying down, and my heart rhythm is very concerning; it's really concerning.",High
galactorrhea of unknown cause,The uncertainty around my symptoms is really wearing me down emotionally.,Low
fracture of the skull,"Every time I move, nausea hits me hard; it's been tough since the fracture.",Low
cirrhosis,I can't shake off this extreme shortness of breath; it’s frightening.,Emergency
reactive arthritis,The lump on my knee is making it hard to wear jeans comfortably.,Low
alcoholic liver disease,My stomach bloating makes me uncomfortable after I've had a drink or two.,Low
syndrome of inappropriate secretion of adh (siadh),My vision sometimes feels crossed; it adds to my dizziness and unease.,Low
scarlet fever,I never expected a simple sore throat to turn into scarlet fever.,Low
hirschsprung disease,It's tough to explain my sharp abdominal pain to friends and family.,Low
kidney disease due to longstanding hypertension,"Sometimes, I can't even express how I feel; it really bothers me What should I do?",High
cystitis,I never expected this condition to cause such sharp abdominal pain during my daily routine.,Medium
chronic rheumatic fever,I feel like I'm gasping for air; I need help immediately!,Emergency
toxic multinodular goiter,"Involuntary urination at night is disrupting my sleep, and I’m exhausted every morning.",Low
peritonitis,I have a groin mass and it feels like my stomach is in knots.,Emergency
cervicitis,I dread going to the bathroom because of the sharp pain it brings.,Medium
social phobia,"I get overwhelmed with fear, and it affects every aspect of my life.",Medium
vasculitis,The tightness in my legs after sitting for a while is really distressing.,Medium
malaria,My body aches all over and the high fever makes me delirious at times.,High
knee ligament or meniscus tear,"My knee feels tight, and it’s hard to move it after sitting for a while.",Low
carbon monoxide poisoning,"My friends think I'm overreacting, but this nausea feels very real.",Low
acariasis,I can’t wear shorts anymore because of this embarrassing rash.,Low
dengue fever,The sore throat combined with fatigue makes every day feel like a struggle.,Low
lymphogranuloma venereum,What should I do about this knee lump? It's been there longer than I'd like.,Low
amyloidosis,Wrist weakness has made me feel helpless and frustrated with my daily activities What should I do?,High
eustachian tube dysfunction (ear disorder),I can't shake this constant feeling of fullness in my ears.,Medium
female infertility of unknown cause,"Despite my irregular cycles, doctors can't seem to find the cause of my infertility.",Low
hypertension of pregnancy,The occasional spotting during my pregnancy has me really worried lately.,Low
edward syndrome,It's disheartening that my suprapubic pain is often dismissed by others.,Low
fracture of the finger,I’m worried; my finger still feels so painful after the initial injury.,Low
sjogren syndrome,"Swallowing is such a challenge, especially with dry throat issues.",Low
dislocation of the patella,"Even with rest, my knee pain hasn’t really improved since the dislocation.",Low
vitamin b12 deficiency,"My memory is playing tricks on me, and I don’t like it at all.",Low
protein deficiency,"I've been dealing with some mild depression, and I can't ignore my diet anymore.",Low
intracranial abscess,I'm experiencing confusion and my headache won't respond to any medication. I really need help.,High
pulmonic valve disease,I’m tired of feeling breathless even when I’m just resting.,High
allergy,"I thought I was safe eating gluten-free, but now I have hives.",Medium
abdominal hernia,"I've noticed a lump in my groin area, and it's starting to hurt more.",Medium
chalazion,I’m tired of rubbing my eye; it feels like there's something stuck in there.,Medium
temporary or benign blood in urine,I woke up to painful urination and found blood in my urine; it's really unsettling.,Medium
pterygium,I've noticed that my eyes are more red than usual; it’s concerning.,Low
fracture of the facial bones,I’ve been feeling really dizzy and disoriented since my accident.,Medium
thoracic outlet syndrome,I'm experiencing a loss of sensation in my arm that terrifies me.,Emergency
emphysema,"I wake up coughing, and it feels like I'm fighting for my life.",Emergency
tuberous sclerosis,"The skin lesions are spreading, and I'm having cognitive difficulties.",High
scleritis,The abnormal involuntary movements in my eye are really concerning.,Low
metabolic disorder,Why is my arm stiffness lingering? It's making everyday tasks difficult.,Low
ectropion,Ectropion has left my eyes red and sore; it’s so frustrating.,Low
hyperlipidemia,"The pain in my legs when walking has gotten worse, circulation seems very poor; it's really concerning.",High
female genitalia infection,I can't seem to shake off this persistent vaginal discharge; it's so distressing.,Low
chalazion,"I woke up with a mass on my eyelid, and it just won’t go away.",Medium
blepharitis,The itchiness in my eyes keeps interrupting my daily routine; I’m fed up!,Medium
myocarditis,"I'm struggling to breathe lying down, and my heart rhythm is very concerning.",High
vulvar cancer,I'm frustrated that my back pain is impacting my mood and daily activities.,Low
hydrocele of the testicle,This retention of urine is new and really adds to my discomfort.,Medium
amyloidosis,"I am constantly short of breath, and my ankles are swollen by the end of the day.",High
fracture of the neck,The hip pain I experience makes it hard to move around comfortably.,Low
stye,I have an unusual skin lesion on my eyelid that’s causing me anxiety.,Medium
birth trauma,It's frustrating that I can’t enjoy these moments with my baby due to my feelings.,Low
pulmonic valve disease,I feel anxious all the time because I can’t catch my breath What should I do?,High
hemophilia,The leg pain I've been experiencing is becoming quite unbearable.,Low
open wound of the chest,I didn’t think pain could feel this sharp; my open chest wound has me scared for my life Is this serious?,High
extrapyramidal effect of drugs,"I never had headaches before, but now they’re unbearable with this treatment.",Emergency
tinnitus of unknown cause,It feels like my hearing is slowly diminishing; it’s terrifying.,Medium
carcinoid syndrome,I need more support for managing my involuntary urination issues.,Low
cystitis,I wake up several times a night because of the frequent urination; I'm so tired.,Medium
vaginal yeast infection,"The suprapubic pain just won’t go away, no matter what I do.",Medium
urethral valves,"Lately, I've been dealing with annoying lower abdominal pain every morning.",Low
stress incontinence,"I feel like I need to urinate all the time, even after going.",Low
blepharospasm,My low back weakness adds to the struggle of dealing with my blepharospasm.,Low
poisoning due to antipsychotics,"I need help, i’m scared to leave the house because of my worsening anxiety.",High
amyloidosis,"I have noticed my tongue feels enlarged, and swallowing has become difficult.",High
paroxysmal supraventricular tachycardia,I can’t stand up straight; the dizziness and heart racing is overwhelming.,Emergency
pulmonary embolism,"Last night, my leg started swelling, and I had difficulty breathing.",Emergency
hemangioma,Can anyone help with the skin scaling that's happening near my hemangioma?,Medium
viral exanthem,I’m worried; my symptoms just don’t seem to be getting better.,Medium
open wound of the shoulder,"I hoped for a quick recovery, but this shoulder wound is causing constant discomfort.",Low
open wound of the nose,This open wound is making it hard for me to sleep comfortably at night.,Low
smoking or tobacco addiction,Each cough feels worse than the last; I’m scared for my health.,Emergency
myasthenia gravis,Talking is exhausting; my voice fades before I finish my sentences.,Emergency
conversion disorder,"I need help, i feel trapped in my own body with these unexplained seizures.",High
drug abuse,My mood swings have been unbearable; I think it’s the constant drug use around me.,Medium
metastatic cancer,"I find myself not eating much lately, and I don't know how to change that.",Low
impetigo,"Each morning, I wake up with new sores in my nose from this impetigo.",Medium
kidney failure,"The vomiting comes in waves, and I’m terrified it means something serious.",Emergency
dental caries,This dental issue is leaving me so uncomfortable; I need help fast.,Medium
lung contusion,"I feel weak and achy, and this shortness of breath is getting worse.",Emergency
injury to the knee,I've been limping because my knee hurts more than I expected.,Low
hypothermia,"It was like I was in a fog, unable to think clearly after that long exposure to cold.",High
injury to the trunk,Rib pain after my accident makes it hard to breathe deeply.,Emergency
insect bite,"The itching from this insect bite is unbearable, and I'm tired of scratching.",Medium
cholecystitis,I woke up with severe nausea and sharp chest pain that wouldn’t subside.,Emergency
central atherosclerosis,"Please help, running errands feels impossible; I’m always battling with shortness of breath.",High
poisoning due to antihypertensives,Could my antihypertensives be causing this odd sharp abdominal pain?,Low
von willebrand disease,"Seeing blood in my stool is terrifying, yet my doctor brushes it off.",Low
amblyopia,"People keep telling me my eye looks misaligned, and it bothers me.",Low
myoclonus,"I can't control these muscle spasms, and they're interfering with everything I do; it's really concerning.",High
hpv,HPV has disrupted my life; I didn’t anticipate such annoying symptoms.,Low
intracranial abscess,"Please help, these seizures are terrifying; I've never experienced anything like this before.",High
premenstrual tension syndrome,My back pain is so intense some days I can barely get out of bed.,Low
mittelschmerz,It’s frustrating when the sharp abdominal pain interrupts my plans and activities.,Low
viral exanthem,The skin rash looks so abnormal; I need answers!,Medium
frostbite,Why is my elbow giving out on me after this frostbite exposure? Is this serious?,High
alzheimer disease,"People tell me I’m acting strangely, but I don’t even notice it.",Medium
scurvy,That sharp pain in my stomach might be scurvy; I really need to eat more fruits.,Low
open wound of the head,This open wound has me feeling disoriented and confused.,Low
tendinitis,"Every time I think it’s getting better, my knee pain returns with a vengeance.",Medium
vacterl syndrome,Emotional symptoms leave me feeling isolated and misunderstood.,Low
hemiplegia,I can’t stop my arm from shaking; it feels completely out of my control.,Emergency
uterine fibroids,I’m tired of feeling stuck at home due to heavy menstrual flow issues.,Medium
chronic rheumatic fever,I can’t handle this increased heart rate; it's exhausting me.,Emergency
primary insomnia,"I keep tossing and turning, feeling completely exhausted every morning.",Low
phimosis,The pressure I feel in my scrotum is really uncomfortable.,Low
allergy to animals,"When I’m near dogs, my nasal congestion becomes unbearable.",Low
mucositis,I’m scared to eat anything solid because of my ulcers.,Medium
conjunctivitis,The white discharge from my eye is really embarrassing in public.,Medium
sinus bradycardia,I’m scared about this dizziness; I feel like I might collapse.,Emergency
interstitial lung disease,"I'm feeling exhausted all the time, and my breathing is abnormal.",Emergency
hemophilia,"The bleeding gums make it hard to eat, and it's upsetting me.",Low
foreign body in the nose,"My nose feels blocked, and I can't remember if I shoved something up there.",Low
epididymitis,I'm worried about this side pain that won't go away.,Medium
deep vein thrombosis (dvt),I've had this odd pain in my calf that doesn’t seem to go away.,Low
abdominal hernia,The groin mass is so uncomfortable; it makes sitting really difficult.,Medium
celiac disease,"I woke up in excruciating pain, feeling sharp abdominal cramps that wouldn't let up.",Emergency
hypercalcemia,Frequent trips to the bathroom are becoming really irritating for me.,Low
syringomyelia,The stiffness in my legs is making walking increasingly difficult. I really need help.,High
uterine fibroids,Dealing with involuntary urination is embarrassing and frustrating every day.,Medium
sciatica,"I've noticed my legs feel numb, and I don’t know how to fix it.",Medium
atrial fibrillation,"Suddenly, my heart rate dropped, and I felt extremely fatigued.",Emergency
atonic bladder,The emotional toll of this condition is really starting to wear me down.,Low
tooth disorder,My teeth hurt so much that I dread going to the dentist again.,Medium
subdural hemorrhage,"My headaches have become more frequent, and I'm not sure why.",Low
subdural hemorrhage,I feel like I'm constantly battling facial pain; it's exhausting.,Low
amblyopia,"My vision seems blurry all the time, and it’s really frustrating.",Low
subdural hemorrhage,"Some days, the dizziness feels like it’s going to knock me out.",Low
tic (movement) disorder,I often feel misunderstood due to my abnormal movements; it’s frustrating.,Low
open wound due to trauma,The redness around my wound is concerning me a lot.,Low
insulin overdose,"Since the overdose, I've felt like I'm stuck in a fog of sadness.",Low
abscess of the pharynx,"My throat swelling is so severe, I can barely speak or eat anything.",Emergency
kidney cancer,"I've noticed blood in my urine, but the doctor just brushed it off.",Low
dyshidrosis,These annoying skin lesions make me self-conscious every time I go out.,Low
hidradenitis suppurativa,I dread wearing short sleeves because of the swelling on my skin.,Low
