disease,text,risk_level
poisoning due to antipsychotics,"Lately, the muscle stiffness is severe, and I feel extremely confused and agitated.",Emergency
central atherosclerosis,"Lately, i feel pressure in my chest during physical activity that goes away when I rest.",Medium
intracranial abscess,My mood swings have gotten worse; I feel so hopeless and trapped.,Medium
insect bite,"After getting bitten, my lip swelled up like a balloon; it's so embarrassing.",Low
hypertrophic obstructive cardiomyopathy (hocm),"Just when I think I'm okay, sharp chest pain takes over again.",High
congenital malformation syndrome,I can see my child struggling more and more with basic functions that should be easy; it's really concerning.,Medium
chronic kidney disease,My heart races when I experience shortness of breath; I'm scared something is wrong.,High
hypertrophic obstructive cardiomyopathy (hocm),"The chest pressure during activity is intense, and I am afraid to exercise anymore.",High
poisoning due to anticonvulsants,The depression hit me hard after I began the anticonvulsant treatment.,Emergency
poisoning due to opioids,My mood swings have become erratic since I started taking these pain pills.,Emergency
liver disease,"There’s blood in my stool, and I feel completely weak; I need help right away!",High
malignant hypertension,How can my body hurt this much while I'm dealing with constant headaches?,Emergency
drug poisoning due to medication,The lip swelling caught me off guard; is this normal?,Emergency
wilson disease,It's disheartening to deal with insomnia when I just want to feel rested.,Medium
nerve impingement near the shoulder,"Lately, I've been feeling a strange ache in my elbow after using my arm.",Medium
common cold,My ears have been aching for days; it's really uncomfortable and annoying.,Low
adrenal cancer,It’s frustrating when my hearing diminishes unexpectedly during important phone calls.,High
acne,Having moles that get irritated by acne is driving me insane.,Low
stress incontinence,It’s frustrating that stress incontinence is affecting my confidence in social situations.,Medium
malaria,The headache and body aches from malaria are making every moment miserable. I really need help.,High
poisoning due to gas,"After the gas leak, I struggled with sharp chest pain and severe wheezing.",Emergency
cerebral palsy,The constant seizures are terrifying; I feel like I’m losing control of her care.,High
achalasia,The tightness in my throat makes it hard to breathe and eat.,Medium
fracture of the neck,It’s annoying that my leg pain flares up when I try to sleep.,Medium
seasonal allergies (hay fever),My eyes are so itchy that I can't focus on anything.,Low
intracranial abscess,My family is worried about my mental state; I feel lost in my own mind.,Medium
insect bite,This bug bite is causing serious discomfort; the itching just won't stop!,Low
amyloidosis,"My skin has strange waxy patches, and I feel exhausted all the time; it's really concerning.",Medium
obstructive sleep apnea (osa),"I sweat profusely during the night, and it’s making my insomnia so much worse.",Medium
insect bite,"I woke up covered in skin lesions from a bug bite, and it's driving me crazy.",Low
poisoning due to ethylene glycol,The headache is severe and I feel extremely drowsy after the accidental ingestion. I really need help.,Emergency
herniated disk,I can’t believe how much back pain I have from this herniated disk.,Medium
foreign body in the eye,The discomfort and burning sensation in my eye are unbearable right now.,Medium
heart block,I can't shake this feeling of my heart fluttering; it's so unsettling.,Emergency
insect bite,There's this annoying skin rash all over my leg from that insect bite last week.,Low
cardiac arrest,Why did I have sudden chest pain and feel so dizzy?,Emergency
anemia due to malignancy,I can’t believe how much energy I’ve lost; it’s affecting everything I do.,Medium
testicular cancer,I didn't expect to feel this anxious over a scrotal mass; it’s so unsettling.,High
sepsis,"I was so fatigued and weak, I thought I might collapse any moment.",Emergency
heart contusion,"I just want to feel like myself again, not depressed from this injury.",High
sepsis,"I experienced sharp abdominal pain, and the weakness made it hard to stand.",Emergency
acne,I’ve been dealing with swelling and painful acne that just won’t go away.,Low
encephalitis,"The headaches are unbearable, and the doctors don’t seem to take me seriously.",Medium
vertebrobasilar insufficiency,I'm having episodes of severe dizziness and double vision that terrify me; it's really concerning.,High
vesicoureteral reflux,Seeing blood in urine is frightening; I need to talk to my doctor.,Medium
uterine cancer,I didn’t expect vaginal bleeding at my age; it’s alarming and confusing.,High
vertebrobasilar insufficiency,I'm having episodes of severe dizziness and double vision that terrify me. I really need help.,High
burn,The constant wrist pain reminds me of the burn I got a week ago.,Low
hidradenitis suppurativa,My arm pain has become a daily reminder of my limitations.,Medium
ischemia of the bowel,I've been feeling sharp abdominal pain after my meals lately.,Medium
cardiomyopathy,Why does my heart feel like it's slowing down? It leaves me so anxious.,High
vitreous hemorrhage,Is it normal to have sudden blurry vision? It’s really unsettling.,Emergency
acne,"I’m tired of the irregular patches on my scalp, it’s so irritating.",Low
subdural hemorrhage,I can't seem to focus with this dizziness; it's frustrating.,Emergency
acne,Why does my acne have to come with such dry and flaky skin?,Low
hypertrophic obstructive cardiomyopathy (hocm),"The shortness of breath is getting worse, and my heart feels like it's pounding out of my chest.",High
seasonal allergies (hay fever),"Just when I think I’m better, another wave of sneezing hits me.",Low
anemia due to chronic kidney disease,"Every time I get up, my ankles swell up like balloons.",High
skin cancer,"The roughness on my skin feels different, and I can't ignore it.",High
common cold,My ears have been aching for days; it's really uncomfortable and annoying.,Low
glucocorticoid deficiency,I dread climbing stairs because of my ongoing shortness of breath.,Medium
poisoning due to antipsychotics,I've taken too much medication and my muscles are becoming extremely rigid. I really need help.,Emergency
common cold,I woke up with a headache that feels like a vice grip on my skull.,Low
acne,Why does my acne have to come with such dry and flaky skin?,Low
genital herpes,I've got a consistent skin rash that’s making me self-conscious in public.,Medium
interstitial lung disease,"I can’t catch my breath, and it's terrifying; I need help now.",Medium
seasonal allergies (hay fever),"Just when I think I’m better, another wave of sneezing hits me.",Low
infectious gastroenteritis,The fluid retention in my legs is uncomfortable and strange.,Medium
insect bite,The skin lesion from that bug bite looks worse than I thought it would.,Low
aspergillosis,"My chest feels tight constantly, and I'm running a low-grade fever that won't quit. I really need help.",High
aspergillosis,"Lately, the persistent cough and chest pain are affecting my sleep and daily activities.",High
polycystic kidney disease,These skin growths are uncomfortable and make me feel self-conscious about my body.,High
poisoning due to opioids,I've been struggling with feelings of anxiety that I never had before the medication.,Emergency
seasonal allergies (hay fever),I didn't sign up for this constant itchiness of my eyes!,Low
dysthymic disorder,I can’t shake this constant feeling of sadness and it’s exhausting.,Medium
factitious disorder,People don’t understand how exhausting it is to manage my symptoms.,Medium
common cold,I've been dealing with a sore throat and it just won't go away.,Low
hidradenitis suppurativa,"My groin mass hurts, especially when I sit for too long.",Medium
seasonal allergies (hay fever),My throat is sore from all the postnasal drip this season.,Low
injury of the ankle,The sharp pain in my ankle makes it difficult to climb stairs.,Medium
poisoning due to antimicrobial drugs,I experienced such severe swelling in my arms after taking the drug that I couldn't lift them.,Emergency
seasonal allergies (hay fever),Why does my face hurt? Allergy pressure is ruining my day.,Low
rheumatoid arthritis,I feel like I'm losing my grip on life because of this hand swelling.,Medium
fracture of the shoulder,"My arm stiffness makes it hard to lift anything, even light objects.",Medium
parkinson disease,I’ve noticed a significant weakness in my arms; simple tasks now feel impossible.,High
poisoning due to antipsychotics,"Lately, the muscle stiffness is severe, and I feel extremely confused and agitated.",Emergency
poisoning due to ethylene glycol,The headache is severe and I feel extremely drowsy after the accidental ingestion; it's really concerning.,Emergency
overflow incontinence,I struggle with hand stiffness and find it hard to do simple tasks.,Medium
amblyopia,"Sometimes, my eyes feel painful, and I don’t know why it happens.",Medium
hirsutism,Why do I have to deal with unwanted hair on my back? It’s so annoying.,Medium
common cold,I started feeling nauseous after days of this cold; is that normal?,Low
acne,My face has been such a mess with these painful pimples and swelling.,Low
thyroid cancer,I’m concerned about this swelling; it’s never happened before.,High
acne,The roughness of my skin is making my acne even more noticeable.,Low
aspergillosis,"Lately, i've been wheezing for weeks, and my asthma medications aren't helping anymore.",High
vertebrobasilar insufficiency,The vertigo attacks come suddenly with nausea and difficulty speaking; it's really concerning.,High
burn,I didn't think a small burn could cause such irritating hand swelling.,Low
congenital heart defect,"The swelling in my ankles won't go away, and I am struggling to breathe when lying flat.",High
acute bronchiolitis,I can’t believe how short of breath my little one is right now.,Medium
kidney disease due to longstanding hypertension,"Sometimes, I can't even express how I feel; it really bothers me.",High
insect bite,I can’t believe how much fluid retention I have after that insect bite on my ankle.,Low
intestinal cancer,It's alarming when you start experiencing unexplained swelling in your feet.,High
poisoning due to ethylene glycol,I'm having difficulty concentrating and my coordination is very poor.,Emergency
ovarian cancer,"I've had this nagging pain in my abdomen, and it's becoming hard to ignore.",High
callus,The growth on my foot is not only painful but also unsightly.,Medium
common cold,It’s not just the cold; now I’m dealing with an ear infection too!,Low
poisoning due to antipsychotics,"Lately, i feel extremely sedated and my blood pressure seems very low.",Emergency
deep vein thrombosis (dvt),"My leg pain seems to be getting worse, and I’m not sure what to do.",High
subconjunctival hemorrhage,"I’ve never experienced facial pain like this, especially with my eye issues.",Emergency
uveitis,"My eyes feel weirdly sensitive to light lately, and it’s annoying.",Medium
congenital heart defect,"Lately, the swelling in my ankles won't go away, and I'm struggling to breathe when lying flat.",High
uterine cancer,Finding a groin mass has me feeling stressed and scared for my health.,High
yeast infection,The diaper rash-like irritation keeps getting worse with every passing day.,Medium
head and neck cancer,"Every time I swallow, my throat feels tight, and it’s really uncomfortable.",High
stroke,"I started feeling dizzy, and then I couldn’t balance on my feet.",Emergency
pulmonic valve disease,"I get extremely tired with any physical activity, and my heart races abnormally; it's really concerning.",Medium
esophageal cancer,I can’t ignore this constant sharp pain; I feel like something is seriously wrong.,High
headache after lumbar puncture,Is it normal to feel dizzy for days after a lumbar puncture?,Medium
heart contusion,I didn’t anticipate feeling so weak in my elbow post-injury.,High
common cold,I didn’t expect nausea along with a cold; it’s really throwing me off.,Low
common cold,I woke up with a headache that feels like a vice grip on my skull.,Low
dislocation of the hip,The pain in my hip has kept me from enjoying my favorite activities.,Medium
subconjunctival hemorrhage,I can't believe how much my vision has dimmed since yesterday.,Emergency
primary thrombocythemia,I can’t shake this constant fatigue; it’s exhausting.,Medium
subconjunctival hemorrhage,"My eye looks terrible with all this redness, and it hurts too.",Emergency
aspergillosis,"I've been wheezing for weeks, and my asthma medications aren't helping anymore. I really need help.",High
cardiac arrest,"The palpitations were so strong, I thought my heart would stop.",Emergency
heart attack,I woke up sweating and with a heavy feeling in my chest.,Emergency
ovarian cancer,"I keep losing weight because I'm not hungry, which worries me every day.",High
insect bite,I didn't think an insect bite could lead to this much peripheral edema.,Low
poisoning due to sedatives,I never felt this way before; the sleepiness is overwhelming.,Emergency
open wound of the abdomen,The irregular belly button and open wound combo is really bothering me lately.,Medium
pneumoconiosis,I can’t keep up at work because I’m always feeling so dizzy.,High
pulmonary embolism,I coughed up blood and panicked because it was so alarming.,Emergency
skin cancer,I've noticed some unusual skin growths that just won't go away.,High
tuberculosis,Why do I have this nagging cough that won't go away?,Medium
malaria,"The fatigue is overwhelming, and my muscles ache like I have run a marathon.",High
huntington disease,I've noticed my anxiety spikes whenever I think about my family history.,High
spherocytosis,I can’t believe how often this cough interrupts my conversations.,Medium
parkinson disease,Why does the tightness in my legs make it feel like I'm stuck in place?,High
urge incontinence,Constipation seems to make my urge incontinence even worse at times.,Medium
granuloma inguinale,"The painless ulcers have grown larger, and the tissue looks raw and red; it's really concerning.",Medium
whooping cough,The shortness of breath is making me anxious and scared.,Medium
abscess of the lung,"Every time I cough, I feel a sharp pain in my chest that worries me.",High
pancreatic cancer,"I've been feeling incredibly bloated lately, and it's really frustrating.",High
burn,"My burn seems to be healing slowly, and I have a slight headache.",Low
adrenal cancer,"Sometimes, I struggle to hear clearly, and it's frustrating me a lot.",High
meningitis,"I couldn't shake the nausea, and my headache made it impossible to focus.",Emergency
insect bite,"I got bitten by something, and now my leg is swollen and painful.",Low
poisoning due to anticonvulsants,I feel an unsettling dizziness that worsens each time I take my dose.,Emergency
pulmonary embolism,The sudden shortness of breath caught me off guard while I was walking.,Emergency
vulvar cancer,I can't sleep at night because of the persistent stress from my vulvar cancer diagnosis.,High
stomach cancer,The burning sensation in my stomach is making it hard to relax.,High
insect bite,There's this annoying skin rash all over my leg from that insect bite last week.,Low
heart failure,Fluid retention is making my nights unbearable; I can't lie down comfortably.,High
insect bite,The swelling in my finger from an insect bite makes it hard to type at work.,Low
presbyacusis,I feel like I’m missing out on life because of my hearing problems.,Medium
pneumoconiosis,"The chest tightness never goes away, and I can hear myself wheezing constantly; it's really concerning.",High
breast infection (mastitis),I've noticed some unusual discharge from my nipple; it’s making me anxious.,Medium
common cold,I've been dealing with a sore throat and it just won't go away.,Low
prostate cancer,Why do I have to deal with blood in my urine at such a young age?,High
burn,My wrist feels swollen after I burned it while cooking last week.,Low
insect bite,I noticed some abnormal appearing skin after being bitten; I hope it goes away soon.,Low
poisoning due to ethylene glycol,I accidentally ingested antifreeze and now I am feeling very drunk and nauseated.,Emergency
alcohol intoxication,"Every time I drink, I end up with sharp pain in my chest; it’s alarming.",Medium
acne,The roughness of my skin is making my acne even more noticeable.,Low
idiopathic painful menstruation,I dread my periods because of the heavy flow and pelvic pain.,Medium
gastrointestinal hemorrhage,"I can't stop feeling dizzy, and I'm scared it means something serious.",Emergency
burn,"I keep icing my wrist, but the pain from the burn is still bothering me.",Low
burn,The constant wrist pain reminds me of the burn I got a week ago.,Low
burn,"The burn on my knee feels tender, and I can’t fully bend it.",Low
poisoning due to ethylene glycol,I accidentally ingested antifreeze and now I am feeling very drunk and nauseated.,Emergency
insect bite,The swelling in my finger from an insect bite makes it hard to type at work.,Low
diabetic ketoacidosis,I didn't realize sharp chest pain could be so serious.,Emergency
gastroduodenal ulcer,The blood in my vomit makes me feel like I need immediate help.,Medium
diabetes,"I wish my weight would stabilize, but it just keeps going up.",Medium
insect bite,My hand has started swelling since that insect bite; I didn’t expect this reaction.,Low
head and neck cancer,Why does swallowing feel so painful now? It just doesn't seem normal.,High
pulmonary embolism,Why is my chest so tight? I can barely take a breath!,Emergency
vitreous hemorrhage,Is it normal to have sudden blurry vision? It’s really unsettling.,Emergency
wilson disease,I’m tired of feeling sleepy all the time; it’s interfering with everything.,Medium
von willebrand disease,"Seeing blood in my stool is terrifying, yet my doctor brushes it off.",Medium
cranial nerve palsy,My diminished vision is making it hard to enjoy reading or watching TV.,High
metastatic cancer,"My neck mass is increasing in size, and it feels really unsettling.",High
acute bronchospasm,I can't catch my breath; it feels like a tight band around my chest.,Medium
subdural hemorrhage,"Some days, the dizziness feels like it’s going to knock me out.",Emergency
malignant hypertension,"I'm scared; my chest pain comes and goes, making me panic even more.",Emergency
acne,The peeling skin around my acne makes me feel so self-conscious.,Low
kidney cancer,The blood in my urine is alarming; why isn't anyone taking action?,High
insect bite,The swelling in my finger from an insect bite makes it hard to type at work.,Low
insect bite,"After getting bitten, my lip swelled up like a balloon; it's so embarrassing.",Low
common cold,I've been dealing with a sore throat and it just won't go away.,Low
sporotrichosis,"The pain in my knee is constant, and I'm starting to wonder if it's sporotrichosis.",Medium
kidney disease due to longstanding hypertension,"Lately, i'm urinating much less than usual, and I feel exhausted and weak constantly.",High
conversion disorder,"Lately, my limbs feel heavy and unresponsive, and the symptoms come and go unpredictably.",Medium
liver disease,The swelling from peripheral edema is so bad that my shoes don't fit anymore; is my liver okay?,High
congenital heart defect,"Lately, i've been experiencing chest pain and irregular heartbeats that worry me constantly.",High
burn,I thought the skin irritation from my burn would heal faster; it's quite annoying.,Low
malaria,"Lately, the cycles of fever, chills, and sweating are exhausting me completely.",High
pneumoconiosis,Years of dust exposure have left me struggling to breathe during any activity. I really need help.,High
amyloidosis,Feeling breathless at night has turned restful sleep into a nightmare.,Medium
vertebrobasilar insufficiency,"Lately, i'm having episodes of severe dizziness and double vision that terrify me.",High
vacterl syndrome,I feel like my suprapubic pain affects my whole mood.,Medium
abscess of the lung,"The persistent cough is unbearable, and I can't seem to catch my breath afterward.",High
diabetic kidney disease,Finding blood in my stool was alarming; I didn't know if it was serious or not.,High
poisoning due to analgesics,The swelling in my skin is getting worse; I think it's the analgesics.,Emergency
burn,"My burn seems to be healing slowly, and I have a slight headache.",Low
seasonal allergies (hay fever),I can't enjoy the outdoors because my eyes are watering non-stop.,Low
malaria,Why does malaria have to cause such debilitating headaches? I’m exhausted!,High
malaria,"I'm having severe sweating episodes after the chills pass, and I feel utterly drained; it's really concerning.",High
chronic kidney disease,My fatigue is overwhelming; I can't keep up with my daily tasks anymore.,High
insect bite,Why is this skin rash getting worse instead of better after the bite?,Low
esophageal cancer,I can’t ignore this constant sharp pain; I feel like something is seriously wrong.,High
carbon monoxide poisoning,I can’t remember the last time I felt normal without a headache.,Emergency
poisoning due to antipsychotics,"Lately, i feel extremely sedated and my blood pressure seems very low.",Emergency
heart failure,"The cough I have won't stop, and it leaves me feeling exhausted.",High
diabetic peripheral neuropathy,"My feet often feel numb, and it's scary not knowing why.",Medium
insect bite,Why is this skin rash getting worse instead of better after the bite?,Low
seasonal allergies (hay fever),I wish I could breathe easily; this coryza is exhausting me.,Low
pain disorder affecting the neck,It’s frustrating how neck pain affects my daily routines and activities.,Medium
poisoning due to ethylene glycol,The confusion and dizziness came on suddenly after the accidental exposure; it's really concerning.,Emergency
acne,I’ve been dealing with swelling and painful acne that just won’t go away.,Low
lung cancer,I'm exhausted all the time; it’s like I can’t get enough rest.,High
carbon monoxide poisoning,I’ve read about carbon monoxide poisoning and it worries me—especially with my symptoms.,Emergency
kidney cancer,The retention of urine is so annoying; I wish they’d take it seriously.,High
epididymitis,I woke up with lower body pain and I don't know what's causing it.,Medium
malignant hypertension,I vomited today because my head hurt so badly; I'm at my wit's end.,Emergency
common cold,"This cough is driving me crazy, especially at night when I try to sleep.",Low
common cold,My ears have been aching for days; it's really uncomfortable and annoying.,Low
sepsis,I never realized how terrifying a high fever and severe weakness could be.,Emergency
common cold,I didn’t expect nausea along with a cold; it’s really throwing me off.,Low
blepharospasm,"Every time I try to read, my eyelids keep spasming and it's so frustrating.",Medium
pulmonary embolism,"My legs are in pain, and I’m feeling really weak and dizzy.",Emergency
retinopathy due to high blood pressure,"It feels like there's something stuck in my eye, causing me discomfort.",High
lymphadenitis,"My neck mass has been painful, and I can't shake this cough.",Medium
ganglion cyst,"Every time I touch the cyst on my knee, it sends sharp pain radiating down my leg.",Medium
poisoning due to anticonvulsants,I didn't realize I'd have trouble moving after taking these anticonvulsants.,Emergency
skin cancer,I've been experiencing persistent skin irritation that is making it hard to focus.,High
dislocation of the ankle,"My toes hurt like crazy, and I can’t find a comfortable position.",Medium
valley fever,"My cough produces sputum, and I feel like I'm getting sicker, not better; it's really concerning.",Medium
congenital heart defect,"The bluish tint to my skin is more noticeable now, and I tire very easily.",High
fracture of the patella,The ache in my knee prevents me from enjoying daily walks.,Medium
common cold,I can't believe how stuffy my nose is; it feels like it's completely blocked.,Low
vitreous hemorrhage,It's frustrating to deal with blurred vision when I’m trying to read.,Emergency
post-traumatic stress disorder (ptsd),"Sometimes, I just lash out at the people I love without warning.",Medium
poisoning due to antipsychotics,I feel extremely sedated and my blood pressure seems very low.,Emergency
kidney failure,"Suddenly, my abdomen is swollen and painful; I’m not sure what’s happening.",High
malaria,I’m losing hope—this fever from malaria just won’t go away.,High
bell palsy,I’ve been anxious about this abnormal movement in my face; it’s so distracting.,High
hypertrophic obstructive cardiomyopathy (hocm),I've been having episodes where my heart races uncontrollably and I nearly black out.,High
sepsis,"The vomiting just wouldn’t stop, and then I started gasping for air.",Emergency
seasonal allergies (hay fever),"My throat is raw from coughing, and I feel so frustrated.",Low
insect bite,This itching from an insect bite is keeping me up at night; I need relief!,Low
malaria,"I am having severe sweating episodes after the chills pass, and I feel utterly drained.",High
high blood pressure,I'm experiencing chest tightness and my vision is getting blurry from my blood pressure. I really need help.,High
common cold,Why do I feel like my head is in a fog with this cold?,Low
poisoning due to opioids,My mood swings have become erratic since I started taking these pain pills.,Emergency
meckel diverticulum,I didn’t expect a diverticulum to cause this kind of knee issue.,Medium
common cold,Why do I have chills during the day when I’m not even sick?,Low
abscess of the lung,"The sharp pain in my chest when I breathe is getting worse, and I am sweating through my clothes at night.",High
hemiplegia,"Sometimes, I lose all sensation in my hand; it’s terrifying and confusing.",Emergency
common cold,I didn’t expect nausea along with a cold; it’s really throwing me off.,Low
conjunctivitis due to virus,This virus has me feeling miserable with both eye pain and a cough.,Medium
poisoning due to opioids,My friends say I seem off; I’m having trouble focusing and speaking clearly.,Emergency
osteomyelitis,I didn’t expect my hand to swell up like this.,Medium
abscess of the lung,"My itchy eyelid is a constant distraction, but the shortness of breath is my biggest concern.",High
injury to the shoulder,"My shoulder hurts and feels weak, making me anxious about my recovery.",Medium
epidural hemorrhage,I didn’t expect to deal with dizziness and mood changes like this.,Emergency
poisoning due to antipsychotics,"The involuntary muscle movements are frightening, and I feel very unwell; it's really concerning.",Emergency
acne,Having moles that get irritated by acne is driving me insane.,Low
tuberculosis,"Lately, i'm extremely fatigued and have no appetite; the cough is getting worse.",Medium
hypertensive heart disease,I woke up gasping for air and my chest felt like it was in a vice.,Emergency
chronic back pain,I've been dealing with low back pain that radiates into my hips for months now.,Medium
esophageal cancer,"I feel constantly bloated, and it’s making me anxious about my health.",High
adrenal cancer,"The dizziness I’m feeling seems to come out of nowhere, which is unsettling.",High
uterine cancer,I’m worried about this groin mass; it doesn’t feel right at all.,High
burn,The headache I got from the burn on my hand just won’t go away.,Low
parkinson disease,I can’t believe how much dizziness I experience; it makes daily activities so challenging.,High
open wound of the chest,"I'm worried about infection, the wound looks angry and the area is very painful; it's really concerning.",Medium
open wound of the ear,My open ear wound is causing some annoying facial pain that I can't ignore.,Medium
poisoning due to analgesics,I didn’t realize that analgesics could lead to such severe mood changes.,Emergency
intracranial hemorrhage,These depressive feelings suddenly came on after my head started hurting.,Emergency
burn,My skin irritation from that minor burn is making it hard to grip things.,Low
poisoning due to antidepressants,I've been struggling with urges to drink since starting the antidepressants.,Emergency
insect bite,This bug bite is causing serious discomfort; the itching just won't stop!,Low
cholesteatoma,Why does it feel like I'm underwater when I try to hear?,Medium
epidural hemorrhage,My mood swings have been so intense since the epidural.,Emergency
insect bite,My hand has started swelling since that insect bite; I didn’t expect this reaction.,Low
insect bite,"I've been dealing with this skin swelling from a bug bite for days, and I’m over it.",Low
seasonal allergies (hay fever),"Just when I think I’m better, another wave of sneezing hits me.",Low
seasonal allergies (hay fever),The pollen is so bad; I'm feeling miserable with nasal congestion.,Low
uterine cancer,The sudden vaginal bleeding feels like a huge red flag to me.,High
burn,"I keep icing my wrist, but the pain from the burn is still bothering me.",Low
poisoning due to ethylene glycol,"Lately, the confusion and dizziness came on suddenly after the accidental exposure.",Emergency
abscess of the lung,"I've had a persistent fever for days now, and my cough brings up thick yellow mucus that smells awful.",High
poisoning due to analgesics,The swelling in my skin is getting worse; I think it's the analgesics.,Emergency
cystic fibrosis,My decreased appetite makes it challenging to keep up with my diet.,Medium
endophthalmitis,I can’t shake this feeling of itchiness in my eye.,Medium
prostate cancer,The pain during intercourse has really impacted my relationship and quality of life.,High
acne,I’m overwhelmed by how swollen my face gets during my menstrual cycle.,Low
common cold,Why do I feel like my head is in a fog with this cold?,Low
cat scratch disease,The skin swelling from the scratch is uncomfortable and frustrating.,Medium
fluid overload,My shortness of breath worsens every time I lie down; it's alarming.,Medium
dislocation of the ankle,"Every time I try to walk, my foot pain gets worse.",Medium
common cold,I started feeling nauseous after days of this cold; is that normal?,Low
common cold,The constant coughing is making my throat even sorer; it's so frustrating.,Low
poisoning due to gas,"The gas smell made me cough uncontrollably, and I felt lightheaded.",Emergency
poisoning due to ethylene glycol,"Lately, i'm having difficulty concentrating and my coordination is very poor.",Emergency
vaginal cyst,The heavy menstrual flow along with sharp pain feels unbearable at times.,Medium
acne,I can’t believe how dry my skin is while I’m battling these pimples.,Low
anemia of chronic disease,"I can’t shake this ill feeling, and it’s really getting me down.",Medium
acne,These persistent pimples have left my skin feeling uneven and rough.,Low
esophageal cancer,Why is my voice so hoarse? It just won’t go back to normal.,High
insect bite,"I've been dealing with this skin swelling from a bug bite for days, and I’m over it.",Low
rheumatic fever,The itchy feeling in my eyes is so bothersome; I just want relief.,Medium
prostatitis,"My doctor said it might be prostatitis, but the symptoms are overwhelming.",Medium
guillain barre syndrome,"My hands keep hurting, making everyday tasks frustrating.",Medium
endometrial cancer,"I've noticed some vaginal itching recently, and it's just adding to my stress.",High
aspergillosis,"Lately, my breathing has become labored, and I feel feverish and weak all the time.",High
burn,The burn on my finger makes typing really uncomfortable and slows me down.,Low
pulmonic valve disease,The fatigue and exercise intolerance are significantly impacting my quality of life. I really need help.,Medium
pneumoconiosis,"My lungs feel heavy, and I am producing more mucus than ever before.",High
open wound of the knee,My knee feels stiff and painful; this wound is so frustrating.,Medium
seasonal allergies (hay fever),My throat is sore from all the postnasal drip this season.,Low
common cold,I can't believe how stuffy my nose is; it feels like it's completely blocked.,Low
insect bite,"My hand is swollen from a bite, and it's making it hard to grip anything.",Low
poisoning due to antimicrobial drugs,"I feel swollen everywhere, especially in my legs; this isn't normal for me after taking those pills.",Emergency
insect bite,Why is this skin rash getting worse instead of better after the bite?,Low
zenker diverticulum,"I am aspirating food into my lungs, and it's causing coughing fits.",Medium
common cold,The congestion makes it hard to breathe; I feel so overwhelmed.,Low
seasonal allergies (hay fever),These allergy symptoms are affecting my work and daily life.,Low
gastrointestinal hemorrhage,"I can't stop feeling dizzy, and I'm scared it means something serious.",Emergency
common cold,Sometimes I feel like I can’t catch my breath from all this wheezing.,Low
seasonal allergies (hay fever),My allergies are making me feel so fatigued; I can barely get out.,Low
meningitis,The combination of nausea and a terrible headache left me feeling hopeless.,Emergency
insect bite,"My hand is swollen from a bite, and it's making it hard to grip anything.",Low
insulin overdose,That little extra insulin turned my world upside down emotionally.,Emergency
subconjunctival hemorrhage,"My eye looks terrible with all this redness, and it hurts too.",Emergency
insect bite,"I woke up covered in skin lesions from a bug bite, and it's driving me crazy.",Low
dental caries,"I noticed some skin irritation near my gums, and it worries me.",Medium
seasonal allergies (hay fever),I didn't sign up for this constant itchiness of my eyes!,Low
poisoning due to sedatives,"These pills made my insomnia worse, which I didn’t expect at all.",Emergency
diabetic ketoacidosis,Waking up in the middle of the night to pee is exhausting.,Emergency
acne,Having moles that get irritated by acne is driving me insane.,Low
connective tissue disorder,I wish my doctors would take my difficulty in swallowing more seriously.,Medium
abscess of nose,I've been dealing with a painful abscess on my nose and now I have a sore throat.,Medium
viral hepatitis,I’ve been having these weird sharp pains in my sides lately.,Medium
vertebrobasilar insufficiency,My vision goes blurry and I feel faint when I turn my head certain ways. I really need help.,High
seasonal allergies (hay fever),The pollen is so bad; I'm feeling miserable with nasal congestion.,Low
plantar fasciitis,I wish my plantar fasciitis didn’t make my ankles feel so heavy.,Medium
hypothermia,"Lately, i'm confused and having trouble thinking clearly; everything feels slow and cold.",High
diabetic kidney disease,"With my diabetic kidney disease, I never expected to face these new challenges.",High
liver cancer,"I've lost interest in food lately, and it worries me.",High
vertebrobasilar insufficiency,The vertigo attacks come suddenly with nausea and difficulty speaking. I really need help.,High
pulmonic valve disease,"I get extremely tired with any physical activity, and my heart races abnormally.",Medium
tuberculosis,I'm extremely fatigued and have no appetite; the cough is getting worse. I really need help.,Medium
uterine cancer,This persistent pelvic pain has disrupted my daily life completely.,High
mitral valve disease,"Nightmares have been so vivid, I wake up feeling exhausted.",Medium
pseudotumor cerebri,"Sometimes I notice my body moving oddly, and it's concerning.",High
breast cyst,"I discovered a growth on my breast skin, and I'm not sure what to do next.",Medium
malignant hypertension,"My insomnia is out of control, and the pain in my legs is worsening.",Emergency
congenital heart defect,"Lately, my lips and fingernails turn bluish when I exert myself, and I feel faint.",High
burn,"I keep icing my wrist, but the pain from the burn is still bothering me.",Low
endometrial cancer,The hot flashes have started making me feel like I’m losing control of my body.,High
pyelonephritis,"The pain during urination is so severe, I dread every bathroom visit.",Medium
burn,I didn't think a small burn could cause such irritating hand swelling.,Low
myoclonus,These uncontrollable jerks make daily tasks dangerous and unpredictable.,Medium
poisoning due to antihypertensives,The depressive symptoms from my antihypertensives are getting hard to manage.,Emergency
burn,My knee pain after that brief burn from the grill is really inconvenient.,Low
burn,I can't shake this annoying wrist pain from a minor burn I had last month.,Low
skin pigmentation disorder,The persistent dryness and roughness on my feet make me dread wearing sandals this summer.,Medium
